route,access
/api/admin/backup,protected
/api/admin/users,protected
/api/admin/users/[id],protected
/api/auth/[...nextauth],public
/api/cli-detect,protected
/api/debug,protected
/api/debug/[id],protected
/api/debug/[id]/breakpoint,protected
/api/debug/[id]/breakpoint/[bpId],protected
/api/eclipse/health,public
/api/extensions,protected
/api/extensions/[id],protected
/api/files,protected
/api/files/[...path],protected
/api/files/search,protected
/api/git/branches,protected
/api/git/branches/[name],protected
/api/git/commit,protected
/api/git/diff,protected
/api/git/discard,protected
/api/git/pull,protected
/api/git/push,protected
/api/git/stage,protected
/api/git/status,protected
/api/health,public
/api/health/live,public
/api/health/ready,public
/api/jobs,protected
/api/jobs/[id],protected
/api/mcp,protected
/api/metrics,public
/api/projects,protected
/api/projects/[id],protected
/api/projects/[id]/epics,protected
/api/projects/[id]/generate-tickets,protected
/api/projects/[id]/prd,protected
/api/projects/[id]/tickets,protected
/api/projects/[id]/tickets/[ticketId]/attachments,protected
/api/projects/[id]/tickets/[ticketId]/attachments/[attachmentId],protected
/api/scheduler,protected
/api/scheduler/[id],protected
/api/sessions,protected
/api/sessions/[id],protected
/api/settings,protected
/api/settings/rotate-key,protected
/api/terminal,protected
/api/terminal/[id],protected
/api/terminal/[id]/resize,protected
/api/terminal/[id]/terminate,protected
/api/terminal/[id]/write,protected
/api/test-connection,protected
/api/tests,protected
/api/tests/[id],protected
/api/validate,protected
/api/workspaces,protected
/api/workspaces/[id],protected
